route,daytype,rides,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,year,month
147,0,5678,0.3340425531914893,3.534567901234568,13.872727272727271,20.0,23.5,12.9,2018,2
92,1,6363,0.0021052631578947,0.0171428571428571,0.0,21.0,29.8,13.3,2018,1
206,1,821,0.0131578947368421,0.0432835820895522,0.3339622641509434,29.0,30.6,26.6,2018,1
84,1,3773,0.0,0.1158536585365853,12.297619047619047,20.0,32.1,10.2,2018,2
53A,1,6356,0.1985263157894737,0.0254545454545454,0.0116279069767441,23.0,37.3,16.7,2018,1
49,0,11224,0.2423863636363636,3.120833333333333,11.428813559322034,19.0,25.4,15.4,2018,2
87,1,11525,0.0005376344086021,0.0,2.180434782608696,32.0,37.1,22.8,2018,1
157,1,3606,0.0024210526315789,0.081159420289855,3.0183673469387755,7.0,14.7,-0.1,2018,1
11,1,1563,0.0,0.0,0.0,33.0,41.0,28.3,2018,3
82,1,17798,0.0014583333333333,0.0,2.0456521739130435,31.0,35.6,24.2,2018,1
90,1,4172,0.0,0.0,0.0,30.0,37.5,20.8,2018,3
82,1,15963,0.1985263157894737,0.0254545454545454,0.0116279069767441,23.0,37.3,16.7,2018,1
7,1,5919,0.0002020202020202,0.0,0.0,40.0,51.0,28.0,2018,2
76,1,11156,0.0,0.0,0.0,41.0,50.4,29.7,2018,3
6,1,8393,0.0,0.0,0.0,28.0,38.4,15.5,2018,2
87,1,7030,0.0,0.0,2.9,-2.0,6.666666666666667,-10.5,2018,1
155,0,5203,0.1699999999999999,0.1796875,0.1777777777777777,37.0,42.6,29.2,2018,3
48,1,1044,0.0171264367816091,0.2055555555555555,13.267307692307693,15.0,25.8,3.1,2018,2
24,1,2048,0.0777142857142857,0.0,0.0,45.0,50.9,36.6,2018,3
71,1,9215,0.0002083333333333,0.0012345679012345,0.0,32.0,41.9,28.1,2018,3
72,1,13922,0.0,0.0,0.0,35.0,38.8,23.6,2018,1
6,1,8224,0.0129787234042553,0.0,0.0,39.0,48.5,29.1,2018,3
97,1,2861,0.0777142857142857,0.0,0.0,45.0,50.9,36.6,2018,3
94,1,8760,0.0953465346534653,0.0,0.0,40.0,43.2,33.1,2018,2
30,1,3408,0.0,0.0,0.0,41.0,50.4,29.7,2018,3
171,1,1717,0.0,0.0012658227848101,2.788372093023256,5.0,12.11111111111111,-3.3,2018,1
56,1,8501,0.0021052631578947,0.0171428571428571,0.0,21.0,29.8,13.3,2018,1
192,1,887,0.0129787234042553,0.0,0.0,39.0,48.5,29.1,2018,3
82,1,18339,0.0741584158415841,0.1394736842105263,0.1469387755102041,31.0,37.1,25.4,2018,3
70,0,4484,0.0,0.0,2.76046511627907,5.0,14.6,-4.2,2018,1
169,1,171,0.0579,0.8306666666666667,0.7895833333333333,30.0,42.9,19.8,2018,3
76,1,10868,0.0547777777777777,1.421794871794872,3.726984126984127,15.0,24.1,5.6,2018,1
39,1,2181,0.0,0.0,10.77111111111111,32.0,41.5,21.1,2018,2
148,1,2444,0.0031578947368421,0.0,5.602083333333333,41.0,46.4,32.4,2018,2
152,0,3520,0.005268817204301,0.0675,2.84,25.0,36.9,14.5,2018,2
80,1,10931,0.0002020202020202,0.0,0.0,40.0,51.0,28.0,2018,2
21,1,9021,0.0061386138613861,0.0810126582278481,0.0942857142857142,32.0,39.2,23.6,2018,3
9,0,13187,0.0,0.0,2.76046511627907,5.0,14.6,-4.2,2018,1
49B,0,3816,0.1699999999999999,0.1796875,0.1777777777777777,37.0,42.6,29.2,2018,3
70,0,4272,0.0067368421052631,0.0,0.0,40.0,51.3,25.7,2018,3
94,0,2869,0.0,0.0,0.0,34.0,40.6,26.7,2018,3
125,1,1389,0.5779411764705883,0.0,0.0,47.0,52.2,36.3,2018,1
134,1,3199,0.0,0.0,0.0,48.0,59.3,36.2,2018,2
57,1,1830,0.0241904761904761,0.0,0.0,45.0,51.1,37.9,2018,3
36,1,11356,0.0002083333333333,0.0012345679012345,0.0,32.0,41.9,28.1,2018,3
79,1,25093,0.0016161616161616,0.0,0.0,33.0,37.3,28.5,2018,2
94,1,6789,0.0,0.0,0.0,11.0,24.0,4.1,2018,2
68,1,1600,0.042680412371134,0.0,0.0,56.0,58.1,28.0,2018,1
59,1,3038,0.0547777777777777,1.421794871794872,3.726984126984127,15.0,24.1,5.6,2018,1
85A,1,523,0.1985263157894737,0.0254545454545454,0.0116279069767441,23.0,37.3,16.7,2018,1
34,1,3983,0.4033333333333334,0.0,0.0,49.0,52.1,36.1,2018,3
126,0,2295,0.0,0.0,0.0,36.0,41.333333333333336,31.22222222222222,2018,3
29,1,10892,0.0,0.0,0.0,33.0,41.0,28.3,2018,3
53A,1,7778,0.0,0.0,0.0,34.0,44.44444444444444,24.0,2018,3
76,1,11024,0.0073863636363636,0.0999999999999999,4.661702127659575,13.0,21.6,5.2,2018,2
56,1,8884,0.0,0.0,0.0,36.0,45.0,26.3,2018,3
54B,0,920,0.0680487804878048,0.9055555555555556,0.9673076923076922,26.0,37.0,11.6,2018,2
39,0,584,0.005268817204301,0.0675,2.84,25.0,36.9,14.5,2018,2
68,1,1536,0.0005376344086021,0.0,2.180434782608696,32.0,37.1,22.8,2018,1
81,1,11418,0.0,0.1158536585365853,12.297619047619047,20.0,32.1,10.2,2018,2
92,1,5925,0.0026881720430107,0.0073529411764705,0.2833333333333333,31.0,38.3,23.9,2018,1
85A,1,495,0.0717073170731707,1.285294117647059,2.0462962962962963,6.0,17.7,-3.6,2018,2
126,1,4944,0.0717073170731707,1.285294117647059,2.0462962962962963,6.0,17.7,-3.6,2018,2
47,0,5206,0.0079166666666666,0.1243243243243243,0.1787234042553191,13.0,18.9,5.6,2018,1
62H,1,952,0.0,0.0,0.0,30.0,37.5,20.8,2018,3
55,0,6034,0.0079166666666666,0.1243243243243243,0.1787234042553191,13.0,18.9,5.6,2018,1
11,1,1563,0.0579,0.8306666666666667,0.7895833333333333,30.0,42.9,19.8,2018,3
8,0,7483,0.003010752688172,0.0371794871794871,0.1309523809523809,12.0,18.8,3.7,2018,1
206,1,890,0.1841666666666666,2.327536231884058,3.887037037037037,12.0,18.0,1.4,2018,2
192,1,938,1.9504950495049505,0.0,0.0,59.0,63.2,35.5,2018,2
53A,1,7284,0.042680412371134,0.0,0.0,56.0,58.1,28.0,2018,1
100,1,691,0.0,0.0,0.0,35.0,38.8,23.6,2018,1
91,0,2018,0.003010752688172,0.0371794871794871,0.1309523809523809,12.0,18.8,3.7,2018,1
115,1,2378,0.4033333333333334,0.0,0.0,49.0,52.1,36.1,2018,3
1001,1,29,0.0,0.0,0.0,33.0,38.6,27.7,2018,3
146,1,11892,0.0953465346534653,0.0,0.0,40.0,43.2,33.1,2018,2
12,1,10758,0.0777142857142857,0.0,0.0,45.0,50.9,36.6,2018,3
120,1,864,0.0002083333333333,0.0012345679012345,0.0,32.0,41.9,28.1,2018,3
20,1,17069,0.0234736842105263,0.0,3.2299999999999995,36.0,41.5,23.7,2018,2
66,1,21362,0.0,0.0,0.0,11.0,24.0,4.1,2018,2
54,1,9900,0.0021052631578947,0.0171428571428571,0.0,21.0,29.8,13.3,2018,1
124,1,824,0.042680412371134,0.0,0.0,56.0,58.1,28.0,2018,1
172,0,582,0.0214705882352941,0.0,0.0,44.0,55.1,32.0,2018,3
J14,0,2751,0.3340425531914893,3.534567901234568,13.872727272727271,20.0,23.5,12.9,2018,2
31,1,548,0.0002083333333333,0.0,0.0,41.0,48.9,31.2,2018,1
71,1,8718,0.1985263157894737,0.0254545454545454,0.0116279069767441,23.0,37.3,16.7,2018,1
143,1,1982,1.1499065420560748,0.0355555555555555,0.0,32.0,45.7,27.4,2018,2
54A,1,642,0.0717073170731707,1.285294117647059,2.0462962962962963,6.0,17.7,-3.6,2018,2
72,0,7288,0.0001063829787234,0.0,0.0,35.0,44.5,27.2,2018,1
1,1,1935,0.0079569892473118,0.15,3.372549019607843,13.0,22.5,3.0,2018,1
50,1,9557,0.0953465346534653,0.0,0.0,40.0,43.2,33.1,2018,2
76,1,9586,0.0043617021276595,0.0,0.0,39.0,48.7,33.1,2018,3
6,1,8213,0.0014583333333333,0.0,2.0456521739130435,31.0,35.6,24.2,2018,1
172,0,681,0.0,0.0,1.210204081632653,39.0,43.5,29.9,2018,1
21,1,8289,0.0,0.0,0.0,35.0,38.8,23.6,2018,1
21,1,7966,0.0171264367816091,0.2055555555555555,13.267307692307693,15.0,25.8,3.1,2018,2
29,1,10664,0.0,0.0,0.0,28.0,38.4,15.5,2018,2
3,1,16317,0.0,0.0,0.0,35.0,38.8,23.6,2018,1
2,1,3168,0.0024210526315789,0.081159420289855,3.0183673469387755,7.0,14.7,-0.1,2018,1
192,1,838,0.0241904761904761,0.0,0.0,45.0,51.1,37.9,2018,3
65,1,8239,0.0079569892473118,0.15,3.372549019607843,13.0,22.5,3.0,2018,1
51,1,1833,0.0,0.0,0.0,28.0,38.4,15.5,2018,2
59,1,3117,0.0579,0.8306666666666667,0.7895833333333333,30.0,42.9,19.8,2018,3
8,0,9715,0.0079166666666666,0.1243243243243243,0.1787234042553191,13.0,18.9,5.6,2018,1
85A,1,565,0.0079569892473118,0.15,3.372549019607843,13.0,22.5,3.0,2018,1
67,1,10080,0.0061386138613861,0.0810126582278481,0.0942857142857142,32.0,39.2,23.6,2018,3
81,1,10765,0.0014851485148514,0.0266666666666666,0.0039215686274509,27.0,36.1,19.7,2018,1
62H,1,773,0.0043617021276595,0.0,0.0,39.0,48.7,33.1,2018,3
2,1,3490,0.0,0.0,0.0,35.0,38.8,23.6,2018,1
30,1,3097,0.1173626373626373,1.7386666666666668,5.082456140350877,17.0,21.8,6.2,2018,2
54,1,10145,0.1547524752475247,0.2671232876712329,0.2152173913043478,35.0,41.0,31.3,2018,3
125,1,1155,0.0002083333333333,0.0012345679012345,0.0,32.0,41.9,28.1,2018,3
60,1,11415,0.0079569892473118,0.15,3.372549019607843,13.0,22.5,3.0,2018,1
X98,1,19,0.0,0.0,0.0,33.0,41.0,28.3,2018,3
94,0,2408,0.3340425531914893,3.534567901234568,13.872727272727271,20.0,23.5,12.9,2018,2
80,1,11128,0.0,0.0,0.0,36.0,45.0,26.3,2018,3
24,1,2061,0.4033333333333334,0.0,0.0,49.0,52.1,36.1,2018,3
94,1,8758,0.0,0.0,0.0,35.0,38.8,23.6,2018,1
8A,0,1120,0.0680487804878048,0.9055555555555556,0.9673076923076922,26.0,37.0,11.6,2018,2
120,1,1246,0.1841666666666666,2.327536231884058,3.887037037037037,12.0,18.0,1.4,2018,2
151,1,15017,0.0,0.0,0.0,41.0,50.4,29.7,2018,3
1,1,1498,0.0022826086956521,0.1549295774647887,3.0428571428571427,11.0,16.4,-0.8,2018,1
74,1,11506,0.0,0.0,2.8208333333333333,21.0,27.9,10.7,2018,1
155,1,6285,0.0,0.0011904761904761,0.0,28.0,35.1,22.8,2018,3
95,1,5490,0.0079569892473118,0.15,3.372549019607843,13.0,22.5,3.0,2018,1
92,0,2705,0.0,0.0,0.0,34.0,41.1,25.7,2018,3
8,1,21831,9.433962264150944e-05,0.0,0.0,37.0,43.5,27.7,2018,3
35,0,2460,0.0009574468085106,0.02375,0.0303030303030303,26.0,34.0,14.2,2018,2
126,1,5607,0.1501960784313725,0.4213333333333333,0.425,35.0,44.2,29.2,2018,1
53A,1,8277,1.1499065420560748,0.0355555555555555,0.0,32.0,45.7,27.4,2018,2
156,1,7115,0.0,0.0,0.0,40.0,48.0,25.7,2018,3
82,1,17857,0.0579,0.8306666666666667,0.7895833333333333,30.0,42.9,19.8,2018,3
55,1,9406,1.9504950495049505,0.0,0.0,59.0,63.2,35.5,2018,2
19,1,326,0.0,0.0,10.77111111111111,32.0,41.5,21.1,2018,2
75,1,6967,0.0021052631578947,0.0171428571428571,0.0,21.0,29.8,13.3,2018,1
65,1,8060,0.509622641509434,0.0,0.0,39.0,50.2,34.2,2018,3
201,1,2520,0.0031578947368421,0.0,5.602083333333333,41.0,46.4,32.4,2018,2
12,0,6368,0.0,0.0,1.210204081632653,39.0,43.5,29.9,2018,1
74,1,12385,0.0016161616161616,0.0,0.0,33.0,37.3,28.5,2018,2
81W,1,1885,0.0,0.0,0.0,33.0,38.6,27.7,2018,3
53A,1,7697,0.0014851485148514,0.0266666666666666,0.0039215686274509,27.0,36.1,19.7,2018,1
148,1,2058,0.0,0.0,2.9,-2.0,6.666666666666667,-10.5,2018,1
87,0,7236,0.0009574468085106,0.02375,0.0303030303030303,26.0,34.0,14.2,2018,2
62H,1,708,0.0022826086956521,0.1549295774647887,3.0428571428571427,11.0,16.4,-0.8,2018,1
39,1,2007,0.0,0.0,0.0,33.0,41.0,28.3,2018,3
135,1,2908,0.0234736842105263,0.0,3.2299999999999995,36.0,41.5,23.7,2018,2
81W,1,1789,0.1547524752475247,0.2671232876712329,0.2152173913043478,35.0,41.0,31.3,2018,3
24,1,2872,0.0,0.0,10.77111111111111,32.0,41.5,21.1,2018,2
206,1,866,0.0579,0.8306666666666667,0.7895833333333333,30.0,42.9,19.8,2018,3
112,1,2168,0.0,0.0011904761904761,0.0,28.0,35.1,22.8,2018,3
29,0,7539,0.1699999999999999,0.1796875,0.1777777777777777,37.0,42.6,29.2,2018,3
1001,1,43,0.1841666666666666,2.327536231884058,3.887037037037037,12.0,18.0,1.4,2018,2
96,1,802,0.5779411764705883,0.0,0.0,47.0,52.2,36.3,2018,1
146,1,12904,0.0061386138613861,0.0810126582278481,0.0942857142857142,32.0,39.2,23.6,2018,3
53A,1,8144,0.0579,0.8306666666666667,0.7895833333333333,30.0,42.9,19.8,2018,3
9,1,15372,0.0777142857142857,0.0,0.0,45.0,50.9,36.6,2018,3
54A,1,749,0.0021052631578947,0.0171428571428571,0.0,21.0,29.8,13.3,2018,1
71,1,7181,0.0,0.0012658227848101,2.788372093023256,5.0,12.11111111111111,-3.3,2018,1
65,0,5056,0.1699999999999999,0.1796875,0.1777777777777777,37.0,42.6,29.2,2018,3
157,1,6884,0.0,0.0011904761904761,0.0,28.0,35.1,22.8,2018,3
91,1,6523,0.0,0.0,0.0,35.0,38.8,23.6,2018,1
157,1,6885,0.0171264367816091,0.2055555555555555,13.267307692307693,15.0,25.8,3.1,2018,2
31,1,596,0.009375,0.0,1.448888888888889,37.0,48.6,28.2,2018,1
90,1,3982,0.5779411764705883,0.0,0.0,47.0,52.2,36.3,2018,1
30,1,3505,0.0016161616161616,0.0,0.0,33.0,37.3,28.5,2018,2
6,1,9172,0.0,0.0,10.77111111111111,32.0,41.5,21.1,2018,2
29,1,5477,0.1461538461538461,2.526582278481013,2.6293103448275863,19.0,22.8,5.7,2018,1
100,1,685,0.0016161616161616,0.0,0.0,33.0,37.3,28.5,2018,2
19,1,191,0.0079569892473118,0.15,3.372549019607843,13.0,22.5,3.0,2018,1
93,1,2771,0.0129787234042553,0.0,0.0,39.0,48.5,29.1,2018,3
52A,1,3419,0.0546153846153846,0.2436619718309859,2.643137254901961,34.0,35.5,23.7,2018,1
19,0,247,0.005268817204301,0.0675,2.84,25.0,36.9,14.5,2018,2
